név;díj;év;liga
Albert Pujols;TSN Major League Player of the Year;2008;ML
Tim Wakefield;Roberto Clemente Award;2010;ML
Brandon Phillips;Gold Glove;2010;NL
Carlos Pena;TSN All-Star;2007;AL
Carlos Zambrano;Silver Slugger;2009;NL
Neftali Feliz;Rookie of the Year;2010;AL
Zack Greinke;Cy Young Award;2009;AL
Ichiro Suzuki;Gold Glove;2009;AL
Aaron Rowand;Gold Glove;2007;NL
Mark Teixeira;Gold Glove;2010;AL
Greg Maddux;Gold Glove;2008;NL
Carlos Quentin;Silver Slugger;2008;AL
David Wright;Silver Slugger;2008;NL
Alex Rodriguez;TSN Major League Player of the Year;2007;ML
Brian McCann;Silver Slugger;2010;NL
Chris Carpenter;Comeback Player of the Year;2009;NL
Chris Coghlan;Rookie of the Year;2009;NL
Roy Halladay;TSN Pitcher of the Year;2010;NL
Alex Rodriguez;Hank Aaron Award;2007;AL
Jonathan Papelbon;Babe Ruth Award;2007;AL
Aaron Hill;Comeback Player of the Year;2009;AL
Joe Mauer;Gold Glove;2010;AL
Matt Holliday;NLCS MVP;2007;NL
Mark Buehrle;Gold Glove;2009;AL
Chase Utley;Silver Slugger;2009;NL
Yovani Gallardo;Silver Slugger;2010;NL
Tim Lincecum;TSN Pitcher of the Year;2008;NL
Jimmy Rollins;Gold Glove;2009;NL
Joey Votto;Hank Aaron Award;2010;NL
Jake Peavy;Cy Young Award;2007;NL
Carlos Pena;Gold Glove;2008;AL
Derek Jeter;Lou Gehrig Memorial Award;2010;ML
Dustin Pedroia;Rookie of the Year;2007;AL
Francisco Rodriguez;Rolaids Relief Man Award;2008;AL
Mike Mussina;Gold Glove;2008;AL
Adrian Gonzalez;Gold Glove;2009;NL
Torii Hunter;Silver Slugger;2009;AL
Jimmy Rollins;Silver Slugger;2007;NL
Cole Hamels;Babe Ruth Award;2008;NL
Ryan Braun;Rookie of the Year;2007;NL
Orlando Hudson;Gold Glove;2007;NL
Brad Lidge;Comeback Player of the Year;2008;NL
J. J. Putz;Rolaids Relief Man Award;2007;AL
Franklin Gutierrez;Gold Glove;2010;AL
Yadier Molina;Gold Glove;2010;NL
Ichiro Suzuki;All-Star Game MVP;2007;ML
Trevor Hoffman;Branch Rickey Award;2008;ML
David Wright;Gold Glove;2008;NL
Brandon Phillips;Gold Glove;2008;NL
Jose Bautista;Silver Slugger;2010;AL
J. D. Drew;All-Star Game MVP;2008;ML
Evan Longoria;Silver Slugger;2009;AL
Shane Victorino;Gold Glove;2008;NL
Jorge Posada;TSN All-Star;2007;AL
Vladimir Guerrero;Silver Slugger;2007;AL
Yadier Molina;Gold Glove;2009;NL
Alex Rodriguez;Most Valuable Player;2007;AL
Dmitri Young;Comeback Player of the Year;2007;NL
Derek Jeter;Silver Slugger;2007;AL
Alexei Ramirez;Silver Slugger;2010;AL
Ryan Zimmerman;Gold Glove;2009;NL
Ryan Braun;Silver Slugger;2009;NL
Joe Mauer;Silver Slugger;2009;AL
CC Sabathia;ALCS MVP;2009;AL
Aramis Ramirez;Hank Aaron Award;2008;NL
Cliff Lee;Cy Young Award;2008;AL
Brian McCann;All-Star Game MVP;2010;NL
Tim Lincecum;TSN Pitcher of the Year;2009;NL
Micah Owings;Silver Slugger;2007;NL
Josh Hamilton;Silver Slugger;2010;AL
Derek Jeter;Roberto Clemente Award;2009;ML
Brian McCann;Silver Slugger;2009;NL
Carlos Gonzalez;Silver Slugger;2010;NL
Adrian Gonzalez;Gold Glove;2008;NL
Geovany Soto;Rookie of the Year;2008;NL
Jake Peavy;TSN All-Star;2007;NL
Miguel Cabrera;Silver Slugger;2010;AL
Evan Longoria;Gold Glove;2009;AL
Albert Pujols;Most Valuable Player;2008;NL
Ichiro Suzuki;Gold Glove;2010;AL
Adrian Beltre;Gold Glove;2007;AL
Russell Martin;TSN All-Star;2007;NL
Derek Jeter;TSN All-Star;2007;AL
Matt Garza;ALCS MVP;2008;AL
Shane Victorino;Gold Glove;2010;NL
Jose Bautista;Hank Aaron Award;2010;AL
Justin Morneau;Silver Slugger;2008;AL
CC Sabathia;TSN Pitcher of the Year;2007;AL
Albert Pujols;TSN Major League Player of the Year;2009;ML
Matt Holliday;TSN All-Star;2007;NL
Josh Hamilton;ALCS MVP;2010;AL
Adam Jones;Gold Glove;2009;AL
Shane Victorino;Lou Gehrig Memorial Award;2008;ML
Tim Lincecum;Babe Ruth Award;2010;NL
Orlando Hudson;Gold Glove;2009;NL
Magglio Ordonez;TSN All-Star;2007;AL
Vladimir Guerrero;TSN All-Star;2007;AL
Ryan Howard;NLCS MVP;2009;NL
Ryan Franklin;TSN Reliever of the Year;2009;NL
Matt Kemp;Gold Glove;2009;NL
CC Sabathia;TSN All-Star;2007;AL
Grady Sizemore;Gold Glove;2007;AL
Rafael Soriano;Rolaids Relief Man Award;2010;AL
Nate McLouth;Gold Glove;2008;NL
Mariano Rivera;Rolaids Relief Man Award;2009;AL
Ichiro Suzuki;Gold Glove;2008;AL
Dustin Pedroia;Gold Glove;2008;AL
Ichiro Suzuki;Gold Glove;2007;AL
CC Sabathia;Cy Young Award;2007;AL
Carl Crawford;Silver Slugger;2010;AL
Derek Jeter;Hank Aaron Award;2009;AL
Matt Holliday;Silver Slugger;2010;NL
Adrian Beltre;Gold Glove;2008;AL
David Wright;TSN All-Star;2007;NL
Michael Bourn;Gold Glove;2009;NL
Jason Bay;Silver Slugger;2009;AL
Carlos Lee;Silver Slugger;2007;NL
Ryan Braun;Silver Slugger;2008;NL
Troy Tulowitzki;Silver Slugger;2010;NL
Albert Pujols;Silver Slugger;2008;NL
David Ortiz;Silver Slugger;2007;AL
Yadier Molina;Gold Glove;2008;NL
Dan Uggla;Silver Slugger;2010;NL
Mariano Rivera;TSN Reliever of the Year;2009;AL
Carlos Pena;Silver Slugger;2007;AL
Albert Pujols;Silver Slugger;2010;NL
Scott Rolen;Gold Glove;2010;NL
Brad Lidge;Rolaids Relief Man Award;2008;NL
Andre Ethier;Silver Slugger;2009;NL
Mike Lowell;World Series MVP;2007;ML
Felix Hernandez;TSN Pitcher of the Year;2010;AL
Felix Hernandez;Cy Young Award;2010;AL
Matt Kemp;Silver Slugger;2009;NL
Torii Hunter;Gold Glove;2008;AL
David Wright;Gold Glove;2007;NL
Torii Hunter;Gold Glove;2007;AL
Hideki Matsui;World Series MVP;2009;ML
Carl Crawford;All-Star Game MVP;2009;ML
Tim Hudson;Comeback Player of the Year;2010;NL
Derrek Lee;Gold Glove;2007;NL
Joe Borowski;TSN Reliever of the Year;2007;AL
Joe Borowski;TSN All-Star;2007;AL
Josh Hamilton;Silver Slugger;2008;AL
Joe Mauer;Gold Glove;2009;AL
Jake Peavy;TSN Pitcher of the Year;2007;NL
Ryan Ludwick;Silver Slugger;2008;NL
Derek Jeter;Gold Glove;2009;AL
Prince Fielder;TSN All-Star;2007;NL
Jose Valverde;TSN All-Star;2007;NL
Robinson Cano;Silver Slugger;2010;AL
Greg Maddux;Gold Glove;2007;NL
Robinson Cano;Gold Glove;2010;AL
Albert Pujols;Gold Glove;2010;NL
Jimmy Rollins;Gold Glove;2007;NL
Carlos Beltran;Silver Slugger;2007;NL
Carlos Beltran;Gold Glove;2008;NL
Evan Longoria;Gold Glove;2010;AL
Jimmy Rollins;Gold Glove;2008;NL
Jose Valverde;Rolaids Relief Man Award;2007;NL
Cody Ross;NLCS MVP;2010;NL
Andruw Jones;Gold Glove;2007;NL
Grady Sizemore;Gold Glove;2008;AL
Derek Jeter;Silver Slugger;2009;AL
Placido Polanco;TSN All-Star;2007;AL
Torii Hunter;Gold Glove;2009;AL
Shane Victorino;Gold Glove;2009;NL
Cliff Lee;Comeback Player of the Year;2008;AL
Albert Pujols;Hank Aaron Award;2009;NL
Kevin Youkilis;Hank Aaron Award;2008;AL
Chase Utley;TSN All-Star;2007;NL
Brad Lidge;TSN Reliever of the Year;2008;NL
Matt Holliday;Silver Slugger;2007;NL
Joe Mauer;Most Valuable Player;2009;AL
Cole Hamels;World Series MVP;2008;ML
Kevin Youkilis;Gold Glove;2007;AL
Ichiro Suzuki;Silver Slugger;2009;AL
Jake Peavy;Pitching Triple Crown;2007;NL
Aaron Hill;Silver Slugger;2009;AL
Cliff Lee;TSN Pitcher of the Year;2008;AL
Placido Polanco;Gold Glove;2007;AL
Jorge Posada;Silver Slugger;2007;AL
Jon Lester;Hutch Award;2008;ML
Adam Lind;Silver Slugger;2009;AL
Placido Polanco;Silver Slugger;2007;AL
Alex Rodriguez;Babe Ruth Award;2009;AL
Zack Greinke;TSN Pitcher of the Year;2009;AL
Carlos Zambrano;Silver Slugger;2008;NL
